ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005975	GO:0005975	carbohydrate metabolic process	70/608	240/5607	9.73577387126771e-16	1.33574817513793e-12	1.19288850380585e-12	YAL017W/YBR018C/YBR019C/YBR053C/YBR056W/YBR105C/YBR126C/YCL040W/YCR005C/YCR036W/YDL021W/YDR001C/YDR009W/YDR074W/YDR516C/YEL011W/YEL012W/YEL070W/YER054C/YER062C/YFL053W/YFR003C/YFR017C/YFR053C/YGL062W/YGL156W/YGR043C/YGR066C/YGR248W/YGR254W/YGR256W/YHL012W/YHR104W/YIL097W/YIL099W/YIL107C/YIL155C/YJL034W/YJL052W/YJL089W/YJL155C/YJR096W/YKL035W/YKL085W/YKR097W/YLL026W/YLR070C/YLR258W/YLR307W/YLR345W/YML070W/YML100W/YMR105C/YMR196W/YMR261C/YMR280C/YMR311C/YMR323W/YNL009W/YNL117W/YNR001C/YOL132W/YOR120W/YOR178C/YOR347C/YOR393W/YPR001W/YPR026W/YPR160W/YPR184W	70
GO:1901565	GO:1901565	organonitrogen compound catabolic process	86/608	393/5607	3.17220179382390e-11	2.1761304305632e-08	1.94339099369001e-08	YAL005C/YBL022C/YBL075C/YBR006W/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR183W/YBR280C/YCL044C/YCL064C/YDL097C/YDL126C/YDL147W/YDL238C/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR380W/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL010W/YGL011C/YGL141W/YGL248W/YGR019W/YGR023W/YGR048W/YGR066C/YGR087C/YGR225W/YGR253C/YHR137W/YIL097W/YIL101C/YIR025W/YIR027C/YIR028W/YJL034W/YJL048C/YJR078W/YJR148W/YKL015W/YKL218C/YLL039C/YLR024C/YLR142W/YLR205C/YLR307W/YLR438W/YML088W/YMR020W/YMR067C/YMR169C/YMR170C/YMR174C/YMR184W/YMR250W/YMR303C/YMR304W/YNL155W/YNR001C/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL087W/YPL154C/YPR108W/YPR127W/YPR151C	86
GO:0044282	GO:0044282	small molecule catabolic process	44/608	144/5607	5.22703158978103e-11	2.39049578039319e-08	2.13482974403688e-08	YBR006W/YBR018C/YBR019C/YCL064C/YCR036W/YDR272W/YDR380W/YDR533C/YFL053W/YGL010W/YGL156W/YGL205W/YGR019W/YGR087C/YGR256W/YHR104W/YHR137W/YIL101C/YIL155C/YIL160C/YJR078W/YJR096W/YJR148W/YKL015W/YKR009C/YLR070C/YLR142W/YLR438W/YML004C/YML070W/YMR105C/YMR250W/YMR303C/YMR322C/YNL009W/YNL202W/YNL274C/YOR040W/YOR120W/YOR388C/YOR391C/YPL280W/YPR001W/YPR127W	44
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	46/608	159/5607	1.49250609072763e-10	5.11929589119576e-08	4.57178181475515e-08	YAL054C/YBR006W/YBR026C/YCL040W/YDL021W/YDR272W/YDR516C/YDR533C/YEL071W/YER024W/YFR053C/YGL010W/YGL062W/YGL205W/YGR019W/YGR254W/YGR256W/YIL160C/YJL052W/YKL218C/YKR009C/YLR345W/YML004C/YML042W/YML054C/YMR020W/YMR169C/YMR170C/YMR322C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W/YPR002W	46
GO:0016052	GO:0016052	carbohydrate catabolic process	31/608	87/5607	5.9269584583423e-10	1.62635740096913e-07	1.45241676747588e-07	YBR018C/YBR019C/YBR056W/YCL040W/YCR036W/YDL021W/YDR001C/YDR516C/YFL053W/YFR017C/YFR053C/YGL156W/YGR254W/YGR256W/YHR104W/YIL099W/YIL155C/YJL052W/YJR096W/YLR070C/YLR307W/YLR345W/YML070W/YMR105C/YMR323W/YOR120W/YOR347C/YOR393W/YPR026W/YPR160W/YPR184W	31
GO:0006091	GO:0006091	generation of precursor metabolites and energy	54/608	214/5607	1.02747257574768e-09	2.34948728987637e-07	2.09820715468474e-07	YAL017W/YAL054C/YBR026C/YBR117C/YCL035C/YCL040W/YCR005C/YDL021W/YDL085W/YDR031W/YDR513W/YDR516C/YEL011W/YEL039C/YER054C/YER067W/YFL053W/YFR003C/YFR017C/YFR053C/YGR043C/YGR248W/YGR254W/YGR256W/YHL012W/YIL066C/YIL099W/YIL111W/YJL045W/YJL052W/YJL116C/YKL035W/YKL085W/YKR046C/YLR258W/YLR345W/YML070W/YMR030W/YMR105C/YMR118C/YMR311C/YMR315W/YMR323W/YNL009W/YNL117W/YNR001C/YOL071W/YOR178C/YOR347C/YOR374W/YOR393W/YPR001W/YPR160W/YPR184W	54
GO:0006979	GO:0006979	response to oxidative stress	35/608	126/5607	7.89332403965333e-08	1.21374769244887e-05	1.08393610097475e-05	YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR231C/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR088W/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL150W/YLR205C/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	35
GO:0006089	GO:0006089	lactate metabolic process	9/608	11/5607	8.8300471724961e-08	1.21374769244887e-05	1.08393610097475e-05	YDR272W/YDR533C/YEL071W/YML004C/YML054C/YMR322C/YOR040W/YOR391C/YPL280W	9
GO:0046185	GO:0046185	aldehyde catabolic process	9/608	11/5607	8.8300471724961e-08	1.21374769244887e-05	1.08393610097475e-05	YDR272W/YDR533C/YML004C/YMR110C/YMR322C/YNL274C/YOR040W/YOR391C/YPL280W	9
GO:0034599	GO:0034599	cellular response to oxidative stress	32/608	110/5607	8.84655752513753e-08	1.21374769244887e-05	1.08393610097475e-05	YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL150W/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	32
GO:0005991	GO:0005991	trehalose metabolic process	9/608	12/5607	3.19250660582103e-07	3.98192642107859e-05	3.5560552049528e-05	YBR126C/YDR001C/YDR074W/YKL035W/YLL026W/YML100W/YMR105C/YMR261C/YPR026W	9
GO:0016051	GO:0016051	carbohydrate biosynthetic process	27/608	89/5607	3.59696336189029e-07	4.1125281104279e-05	3.67268890635114e-05	YAL017W/YBR053C/YBR105C/YBR126C/YDR074W/YEL011W/YEL012W/YER054C/YER062C/YFR017C/YGL062W/YGR066C/YIL097W/YJL034W/YJL052W/YJL089W/YKL035W/YKR097W/YLR070C/YLR258W/YML100W/YMR105C/YMR261C/YMR311C/YOL132W/YOR178C/YPR184W	27
GO:0042182	GO:0042182	ketone catabolic process	8/608	10/5607	6.75753770290674e-07	7.13180132952927e-05	6.3690476811202e-05	YDR272W/YDR533C/YHR137W/YML004C/YMR322C/YOR040W/YOR391C/YPL280W	8
GO:0044092	GO:0044092	negative regulation of molecular function	27/608	94/5607	1.20514683893497e-06	0.000111157875811462	9.92694241557017e-05	YBR170C/YBR214W/YCR021C/YDL126C/YDL130W-A/YDL181W/YDR014W-A/YER179W/YFR003C/YFR017C/YGR048W/YHR071W/YHR138C/YIL033C/YIL113W/YIR025W/YKL117W/YKL193C/YLR178C/YMR174C/YMR311C/YNL015W/YNL250W/YOR027W/YOR173W/YPL052W/YPR007C	27
GO:0005996	GO:0005996	monosaccharide metabolic process	24/608	78/5607	1.21528289881336e-06	0.000111157875811462	9.92694241557017e-05	YBR018C/YBR019C/YBR053C/YBR105C/YCL040W/YCR036W/YDR009W/YEL012W/YFR053C/YGL062W/YGL156W/YGR066C/YHR104W/YIL097W/YIL107C/YJL052W/YJL089W/YJL155C/YJR096W/YKR097W/YLR070C/YLR345W/YMR105C/YOR120W	24
GO:0062197	GO:0062197	cellular response to chemical stress	38/608	160/5607	1.75380432169824e-06	0.000150388720585624	0.000134304488845839	YAL005C/YAL028W/YAL053W/YBL022C/YBL064C/YBR006W/YBR024W/YBR046C/YBR072W/YBR126C/YCL026C-B/YCL035C/YCR021C/YCR083W/YDL124W/YDR453C/YDR513W/YDR533C/YFL014W/YGR023W/YGR043C/YGR097W/YHR008C/YHR104W/YIL101C/YJR096W/YKL026C/YKL086W/YKL103C/YKL150W/YLL026W/YML007W/YMR250W/YOL052C-A/YOL081W/YOR120W/YOR351C/YPL196W	38
GO:0070887	GO:0070887	cellular response to chemical stimulus	73/608	397/5607	2.18074347760144e-06	0.000175998826545246	0.00015717556705437	YAL005C/YAL028W/YAL053W/YBL022C/YBL064C/YBL075C/YBR006W/YBR024W/YBR046C/YBR072W/YBR126C/YBR170C/YCL026C-B/YCL035C/YCR021C/YCR083W/YCR091W/YDL124W/YDL126C/YDR001C/YDR009W/YDR453C/YDR513W/YDR533C/YER103W/YFL014W/YFL044C/YFL053W/YGL248W/YGR008C/YGR023W/YGR043C/YGR048W/YGR088W/YGR097W/YHR008C/YHR030C/YHR104W/YIL101C/YIL160C/YIR038C/YJL034W/YJL089W/YJR096W/YKL026C/YKL086W/YKL103C/YKL150W/YKL178C/YKR034W/YKR076W/YLL026W/YLR024C/YLR259C/YLR299W/YML007W/YML070W/YML088W/YMR175W/YMR250W/YMR280C/YNL155W/YNL305C/YNL335W/YOL052C-A/YOL081W/YOR052C/YOR120W/YOR351C/YPL187W/YPL196W/YPL230W/YPR026W	73
GO:0030163	GO:0030163	protein catabolic process	57/608	287/5607	2.71222672846516e-06	0.00019637812840874	0.000175375281162938	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR023W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR174C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W/YPR151C	57
GO:0006112	GO:0006112	energy reserve metabolic process	15/608	37/5607	2.71952218641841e-06	0.00019637812840874	0.000175375281162938	YAL017W/YEL011W/YER054C/YER067W/YFR003C/YFR017C/YHL012W/YIL099W/YKL035W/YLR258W/YMR105C/YMR311C/YOR178C/YPR160W/YPR184W	15
GO:0043934	GO:0043934	sporulation	38/608	165/5607	3.89398347035727e-06	0.000267127266066509	0.000238557724183993	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR208W/YOR255W/YOR338W/YPL027W	38
GO:0015980	GO:0015980	energy derivation by oxidation of organic compounds	36/608	153/5607	4.15753375949308e-06	0.000271625538953548	0.000242574902057642	YAL017W/YAL054C/YBR026C/YCR005C/YDL085W/YDR031W/YEL011W/YEL039C/YER054C/YER067W/YFL053W/YFR003C/YFR017C/YHL012W/YIL066C/YIL099W/YIL111W/YJL045W/YJL116C/YKL035W/YKL085W/YKR046C/YLR258W/YML070W/YMR030W/YMR105C/YMR118C/YMR311C/YNL009W/YNL117W/YNR001C/YOL071W/YOR178C/YPR001W/YPR160W/YPR184W	36
GO:0030435	GO:0030435	sporulation resulting in formation of a cellular spore	37/608	161/5607	5.51399195333249e-06	0.000343872589089645	0.000307095054243015	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	37
GO:0005977	GO:0005977	glycogen metabolic process	14/608	35/5607	7.09781813738928e-06	0.0004234002819347	0.000378117176746962	YAL017W/YEL011W/YER054C/YFR003C/YFR017C/YHL012W/YIL099W/YKL035W/YLR258W/YMR105C/YMR311C/YOR178C/YPR160W/YPR184W	14
GO:0043161	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	35/608	152/5607	9.46572881854167e-06	0.000522116926342315	0.000466275972274401	YAL005C/YBR105C/YBR169C/YBR170C/YBR280C/YDL126C/YDL147W/YDR330W/YDR363W-A/YEL012W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YLR024C/YML088W/YMR067C/YMR184W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	35
GO:0051603	GO:0051603	proteolysis involved in protein catabolic process	52/608	264/5607	9.74997277967534e-06	0.000522116926342315	0.000466275972274401	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W	52
GO:0010498	GO:0010498	proteasomal protein catabolic process	37/608	165/5607	1.00737851123133e-05	0.000522116926342315	0.000466275972274401	YAL005C/YBR105C/YBR169C/YBR170C/YBR280C/YDL126C/YDL147W/YDR330W/YDR363W-A/YDR394W/YEL012W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YLR024C/YML088W/YMR067C/YMR184W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPL052W/YPR108W	37
GO:0030437	GO:0030437	ascospore formation	28/608	110/5607	1.0274895780789e-05	0.000522116926342315	0.000466275972274401	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	28
GO:0019752	GO:0019752	carboxylic acid metabolic process	71/608	401/5607	1.22181025405272e-05	0.00057800241252038	0.000516184446964648	YAL054C/YAL062W/YBR006W/YBR026C/YBR053C/YCL040W/YCL064C/YCR005C/YDL021W/YDR272W/YDR380W/YDR516C/YDR533C/YEL071W/YER024W/YFL030W/YFR053C/YGL010W/YGL062W/YGL184C/YGL205W/YGR019W/YGR087C/YGR254W/YGR256W/YHR112C/YHR137W/YIL101C/YIL160C/YJL052W/YJL088W/YJR078W/YJR148W/YKL015W/YKL085W/YKL218C/YKR009C/YLR142W/YLR345W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR110C/YMR169C/YMR170C/YMR250W/YMR303C/YMR322C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YNR001C/YOL058W/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W/YPR002W/YPR081C	71
GO:0048468	GO:0048468	cell development	28/608	111/5607	1.23636775704185e-05	0.00057800241252038	0.000516184446964648	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	28
GO:0019941	GO:0019941	modification-dependent protein catabolic process	48/608	239/5607	1.26385367169179e-05	0.00057800241252038	0.000516184446964648	YAL005C/YBL022C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	48
GO:0042026	GO:0042026	protein refolding	12/608	28/5607	1.40186995573211e-05	0.000620440509440149	0.000554083744812286	YAL005C/YBL075C/YBR169C/YDR258C/YER103W/YJL034W/YLL026W/YLR216C/YLR259C/YMR186W/YOR020C/YPL240C	12
GO:0048646	GO:0048646	anatomical structure formation involved in morphogenesis	37/608	168/5607	1.55425080786986e-05	0.000666385033874201	0.000595114454065958	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	37
GO:0043086	GO:0043086	negative regulation of catalytic activity	21/608	74/5607	2.2776483810589e-05	0.000946949569337213	0.000845672317560623	YBR170C/YBR214W/YDL126C/YDR014W-A/YER179W/YFR003C/YFR017C/YGR048W/YHR138C/YIL033C/YIL113W/YIR025W/YKL193C/YLR178C/YMR174C/YMR311C/YNL015W/YNL250W/YOR027W/YOR173W/YPL052W	21
GO:0034293	GO:0034293	sexual sporulation	28/608	115/5607	2.51697899437378e-05	0.000986655765794524	0.000881131894571755	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	28
GO:0043935	GO:0043935	sexual sporulation resulting in formation of a cellular spore	28/608	115/5607	2.51697899437378e-05	0.000986655765794524	0.000881131894571755	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	28
GO:1903008	GO:1903008	organelle disassembly	21/608	75/5607	2.84833148794905e-05	0.00102778628198078	0.000917863458819726	YAL005C/YAL008W/YBL078C/YBR170C/YCL001W-B/YDL126C/YDL149W/YDR022C/YGL180W/YIL065C/YJL036W/YJL102W/YJL185C/YKL037W/YLL026W/YLR312C/YLR356W/YNL242W/YOR019W/YOR152C/YPL166W	21
GO:0030154	GO:0030154	cell differentiation	28/608	116/5607	2.98541372686746e-05	0.00102778628198078	0.000917863458819726	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W	28
GO:0046835	GO:0046835	carbohydrate phosphorylation	8/608	14/5607	3.02689782348996e-05	0.00102778628198078	0.000917863458819726	YCL040W/YCR036W/YDR009W/YDR516C/YFR053C/YIL107C/YJL155C/YLR345W	8
GO:0006511	GO:0006511	ubiquitin-dependent protein catabolic process	46/608	233/5607	3.04339153493355e-05	0.00102778628198078	0.000917863458819726	YAL005C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	46
GO:0009653	GO:0009653	anatomical structure morphogenesis	42/608	206/5607	3.07137300008834e-05	0.00102778628198078	0.000917863458819726	YAL018C/YCL048W/YCR045C/YDL126C/YDL222C/YDL223C/YDR085C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YMR104C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W/YPL123C	42
GO:0048856	GO:0048856	anatomical structure development	42/608	206/5607	3.07137300008834e-05	0.00102778628198078	0.000917863458819726	YAL018C/YCL048W/YCR045C/YDL126C/YDL222C/YDL223C/YDR085C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YMR104C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR255W/YOR338W/YPL027W/YPL123C	42
GO:0043436	GO:0043436	oxoacid metabolic process	72/608	420/5607	3.30859230483445e-05	0.00108080681957925	0.000965213394192307	YAL054C/YAL062W/YBR006W/YBR026C/YBR053C/YCL040W/YCL064C/YCR005C/YDL021W/YDR272W/YDR380W/YDR516C/YDR533C/YEL071W/YER024W/YFL030W/YFR053C/YGL010W/YGL062W/YGL184C/YGL205W/YGR019W/YGR087C/YGR254W/YGR256W/YHR112C/YHR137W/YIL101C/YIL160C/YJL052W/YJL088W/YJR078W/YJR148W/YKL015W/YKL085W/YKL218C/YKR009C/YKR034W/YLR142W/YLR345W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR110C/YMR169C/YMR170C/YMR250W/YMR303C/YMR322C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YNR001C/YOL058W/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W/YPR002W/YPR081C	72
GO:0061077	GO:0061077	chaperone-mediated protein folding	11/608	26/5607	3.73593537543132e-05	0.001162818828555	0.00103845413260551	YAL005C/YBL075C/YDR258C/YDR533C/YER103W/YJL034W/YLL026W/YOR007C/YOR020C/YOR391C/YPL280W	11
GO:0006081	GO:0006081	cellular aldehyde metabolic process	13/608	35/5607	3.87041692346891e-05	0.001162818828555	0.00103845413260551	YDR272W/YDR533C/YML004C/YMR095C/YMR110C/YMR322C/YNL009W/YNL117W/YNL274C/YOR040W/YOR391C/YPL088W/YPL280W	13
GO:0006082	GO:0006082	organic acid metabolic process	72/608	422/5607	3.89599471805626e-05	0.001162818828555	0.00103845413260551	YAL054C/YAL062W/YBR006W/YBR026C/YBR053C/YCL040W/YCL064C/YCR005C/YDL021W/YDR272W/YDR380W/YDR516C/YDR533C/YEL071W/YER024W/YFL030W/YFR053C/YGL010W/YGL062W/YGL184C/YGL205W/YGR019W/YGR087C/YGR254W/YGR256W/YHR112C/YHR137W/YIL101C/YIL160C/YJL052W/YJL088W/YJR078W/YJR148W/YKL015W/YKL085W/YKL218C/YKR009C/YKR034W/YLR142W/YLR345W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR110C/YMR169C/YMR170C/YMR250W/YMR303C/YMR322C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YNR001C/YOL058W/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W/YPR002W/YPR081C	72
GO:0006508	GO:0006508	proteolysis	67/608	385/5607	3.8986637108987e-05	0.001162818828555	0.00103845413260551	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR139W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YCR045C/YDL097C/YDL126C/YDL147W/YDR059C/YDR231C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGL259W/YGR048W/YGR066C/YGR225W/YGR231C/YGR253C/YHR138C/YIL097W/YIR025W/YIR039C/YJL034W/YJL048C/YKL103C/YLL039C/YLR024C/YLR178C/YLR299W/YML088W/YMR067C/YMR174C/YMR184W/YMR297W/YMR304W/YNL015W/YNL155W/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W	67
GO:0046395	GO:0046395	carboxylic acid catabolic process	24/608	94/5607	4.16732914438363e-05	0.00121650544384986	0.00108639890796474	YBR006W/YCL064C/YDR380W/YGL010W/YGL205W/YGR019W/YGR087C/YGR256W/YHR137W/YIL101C/YIL160C/YJR078W/YJR148W/YKL015W/YKR009C/YLR142W/YLR438W/YMR250W/YMR303C/YNL009W/YNL202W/YNL274C/YOR388C/YPR001W	24
